Sex,Age,GHE code,GHE cause,AFG,ALB,DZA,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,LCA,VCT,WSM,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE
Females,15-29,850,Noncommunicable diseases/Mental and substance use disorders/Schizophrenia/,0,0,0,0,.,0,0,.,.,0,.,0,0,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0.2,.,0,0,.,0,.,0,0,.,0,0,.,0,0,.,0,0,0,0,.,0,0,.,0,0,0,0,.,0,0,.,0,0,0,.,0,0,.,.,0.1,0,0,0,.,.,.,.,0,0,0,0,0,0,.,0,.,0,0,0,0,.,.,0,0,0,0,0,.,0,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,.,0,0,.,0,0,0,0,0,.,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,.,.,.,0,0,0,0,.,0,0,0,0,.,.,0,0,0,.,0,0,0,.,0,0,0,0,0,0,.,0,0,.,0,0,.,0,0,0,0
Females,15-29,860,Noncommunicable diseases/Mental and substance use disorders/Alcohol use disorders/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Females,15-29,871,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Opioid use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,1.2,0,0,0,0,0,0,0,0
Females,15-29,872,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Cocaine use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
Females,15-29,873,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Amphetamine use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Females,15-29,875,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Other drug use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
Females,15-29,890,Noncommunicable diseases/Mental and substance use disorders/Eating disorders/,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Females,15-29,1610,Injuries/Intentional injuries/Self-harm/,0.3,0,0.1,0.8,.,0.4,0,0.1,0,0,0,0,2.5,.,0,0.1,0,0.1,0,0.3,0,0,0.7,0,0,0.2,0.1,0.3,0.2,0.2,0,0.1,0.1,0.1,9.9,0.2,0,0.1,0,0.4,0,0,0,0,0.6,1.3,0,0,0.1,0.2,0.1,0.1,0,0,0,0.6,0,0,0.2,0,0,0,0.2,0.1,0,.,0.1,0.1,0,0,0.2,0,0,0,50.2,0.8,0.6,0.2,0,0,0.1,0,0.8,0,0.3,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0.6,0,0,0,0.1,0.2,0.4,0,0.3,0.1,0,0.1,0.1,1.6,0,0,0.7,0,0.1,0.1,0.2,0.4,0.1,0,0,0.5,0,0,1.1,0,0,.,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0.2,0.1,0.1,0.5,0.6,0,0,0.1,0,0,0,0.4,0,0,0.1,0,0,0,1,0.1,0.3,0.2,0,0.2,0.3,1.8,0,0.5,0,0,0.4,0.5,0.1,0.1
Males,30-49,850,Noncommunicable diseases/Mental and substance use disorders/Schizophrenia/,0,0,0,0,.,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,.,0,0,0,.,.,0.1,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,.,0,0,0,.,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,.,.,0,0,0,0,0,0,0,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Males,30-49,860,Noncommunicable diseases/Mental and substance use disorders/Alcohol use disorders/,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0.1,0,0.3,0.1,0,0.1,0,0.1,0,0,3.5,0,0,0.1,0.1,0.1,0.2,0.1,0,0,0.1,0.1,3.6,0.1,0,0,0,0.2,0,0.1,0,0.1,0.1,0.2,0.1,0,0,0.1,0,0.5,0,0,0.1,0.5,0,0.1,0.7,0,0,0,0.8,0.1,0,0,0.5,0.1,0,0,0.1,0,0.1,0,2.9,0.2,0,0,0,0,0.1,0,0.1,0,0.2,0.2,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,1.1,0,0.1,0,0,0.1,0.4,0,0,0,0,0.2,0.1,1,0,0,0.2,0,0,0,0.1,0.6,1,0,0,0.2,0.1,0.1,9,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0.7,0,0,0,0,0,0,0.1,0,0.2,1.1,0,0.3,0.3,1.9,0,0.1,0,0,0.4,0,0.1,0.1
Males,30-49,871,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Opioid use disorders,0,0,0.1,0.1,0,0.1,0,0.3,0,0,0,0,0.2,0,0.4,0,0,0.1,0,0,0,0,0.3,0,0,0.1,0,0,0.3,0.3,0,0,0.1,0,2.2,0.1,0,0,0,0.3,0,0,0,0,0.1,0.1,0.1,0,0,0,0.3,0,0,0,0,0.2,0,0.1,0.2,0,0,0,0.3,0.2,0.1,0,0.1,0.1,0,0,0,0,0,0,3.2,0.1,0.8,0.1,0.1,0,0.2,0,0.1,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.2,0,0,0,0.2,0,0.1,0,0,0,0,0,0,2.6,0.1,0,0.2,0,0,0,0.1,0.2,0.1,0,0,0,0,0.1,5.6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.1,0,0,0.1,0,0,0,0.2,0,0,0.1,0,0,0,0.1,0,0,2.7,0.1,0.8,0.1,7.4,0,0.1,0,0,0.2,0,0,0.1
Males,30-49,872,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Cocaine use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,1.8,0,0,0,0,0,0,0,0
Males,30-49,873,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Amphetamine use disorders,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0.6,0,0,0,0,0,0,0,0
Males,30-49,875,Noncommunicable diseases/Mental and substance use disorders/Drug use disorders/Other drug use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.9,0,0,0,0,0.1,0,0,0
Males,30-49,890,Noncommunicable diseases/Mental and substance use disorders/Eating disorders/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Males,30-49,1610,Injuries/Injuries/Self-harm/,0.4,0,0.4,1.1,.,1.4,0,0.8,0.3,0.1,0,0,1.1,0,0.7,0.5,0,0.2,0,0.5,0,0.1,4,0,0.2,0.3,0.2,0.5,0.6,1,0,0.2,0.3,0.6,10.7,0.8,0,0.1,0.1,0.9,0.1,0.4,0,0.4,0.6,1.4,0.2,0,0.2,0.3,0.5,0.2,0,0.1,0.1,1.7,0,0.2,2.5,0,0,0.1,2,0.4,0.1,.,0.1,0.2,0,0.1,0.3,0.1,0.5,0,47.6,1.8,0.6,0.3,0.2,0.1,1,0,5.3,0.1,1.8,0.7,0,0.1,0.2,0.1,0.1,0,0,0.1,0.1,0.2,0,0.3,0.2,0.4,0,0.2,0,0,0,1.8,0,0.4,0,0.3,0.4,0.4,0,0.2,0.4,0.1,0.2,0.1,3.7,0.1,0.1,0.7,0.1,0.2,0.1,0.5,0.8,2.7,0.3,0.1,3.8,0.2,0.7,8.7,0.3,0,0,0,0,0.2,0.2,0.3,0,0.2,0.1,0.2,0.1,0,0.1,1.9,0.2,1,2.2,1.1,0,0,0.3,0.2,0.1,0.1,2.2,0,0,0.2,0,0.1,0.1,2.1,0.2,0.5,2.6,0.1,1.8,0.7,11.4,0.1,0.8,0,0.3,2.2,0.5,0.2,0.2
Females,30-49,850,Noncommunicable diseases/Mental and substance use disorders/Schizophrenia/,0,0,0,0,.,0,0,0,.,0,.,0,0,.,0,0,.,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,.,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,.,0,0,0,.,0.5,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,.,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
